Headline,Body ID,Stance,prob_0,prob_1,prob_2,prob_3
Report of quarantined Texas town NOT real; shared on a 'fake' news website,1260,unrelated,7.355038e-05,1.466723e-06,1.2737358e-05,0.99991226
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",121,unrelated,8.566447e-09,1.7205702e-08,1.849437e-08,1.0
Nasa questions whether crater in Nicaragua caused by meteorite,1068,discuss,0.0002264119,0.000489888,0.9992835,2.637831e-07
American hostage in Yemen freed in military raid-Defence Ministry,115,unrelated,2.3630569e-06,1.9290395e-07,9.30817e-06,0.9999881
Vogue’s Shiny New Office Has a Big Rat Problem,1686,unrelated,3.5055284e-05,1.247183e-05,6.008284e-06,0.9999465
WATCH: Bird Launches Airstrike on Putin’s Shoulder (UPDATED),2502,unrelated,2.706336e-06,8.816261e-07,1.1252117e-06,0.99999523
Cheese addiction breaks Kim Jong-un's ankles,2417,discuss,0.0060708504,3.295333e-05,0.99383837,5.7836107e-05
Media outlets identify 'Jihadi John',2092,unrelated,1.3185988e-08,1.7313457e-08,5.1136603e-06,0.9999949
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,529,unrelated,1.2987976e-08,1.6539403e-09,1.0852555e-06,0.9999989
North Korea denies plans to open a restaurant in Scotland,1143,unrelated,1.535022e-08,4.0244434e-09,1.8707846e-06,0.9999981
CNN Airs Alleged Audio from Michael Brown Shooting,1299,unrelated,2.4763043e-08,5.961059e-08,1.211727e-06,0.9999987
Vice CEO Throws Down $300K on Lavish Vegas Dinner,737,unrelated,1.7636058e-06,1.3275324e-08,1.3231668e-06,0.9999969
"Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals",1280,unrelated,1.5988636e-08,1.6715566e-08,1.6290439e-07,0.99999976
Does Vogue's New Office Have a Rat Infestation?,1686,unrelated,7.860649e-07,3.1681393e-05,2.4538305e-05,0.999943
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,1358,unrelated,6.386672e-08,1.2731575e-09,5.939012e-09,0.9999999
Watch marine take sniper shot to the head and live,532,unrelated,1.5505157e-06,4.0347892e-08,6.7904597e-07,0.99999774
Graphic Photo: Oliver Ilic Uses Razor Blade To Slice Off Own Manhood After Girlfriend Broke Up With Him,2330,unrelated,6.996682e-08,3.0916226e-08,3.2654167e-08,0.9999999
Kim Jong-Un's Sister Takes Control in North Korea,1769,unrelated,5.904156e-08,1.1174684e-08,2.7242688e-06,0.99999726
